	Active Life	1	3	0
	Soccer	1	3	0
110 Las Vegas	Auto Repair	1	68	1
110 Las Vegas	Automotive	1	68	1
110 Las Vegas	Oil Change Stations	1	68	1
110 Las Vegas	Smog Check Stations	1	68	1
AGINCOURT	Burgers	1	7	0
AGINCOURT	Fast Food	1	7	0
AGINCOURT	Restaurants	1	7	0
AVON	Auto Parts & Supplies	1	15	1
AVON	Automotive	1	15	1
AVON	Tires	1	15	1
AVON	Wheel & Rim Repair	1	15	1
AZ	Unknown	1	3	0
Agincourt	Burgers	1	5	0
Agincourt	Fast Food	1	5	0
Agincourt	Restaurants	1	5	0
Ahwahtukee	Carpet Cleaning	1	17	1
Ahwahtukee	Home Cleaning	1	17	1
Ahwahtukee	Home Services	1	17	1
Ahwahtukee	Local Services	1	17	1
Ahwahtukee	Office Cleaning	1	17	1
Ahwahtukee	Professional Services	1	17	1
Ahwatukee	Restaurants	5	812	3
Ahwatukee	Food	5	622	2
Ahwatukee	Local Services	4	53	3
Ahwatukee	Home Services	3	49	1
Ahwatukee	Health & Medical	3	45	2
Ahwatukee	Italian	2	293	1
Ahwatukee	Pizza	2	293	1
Ahwatukee	Sandwiches	2	293	1
Ahwatukee	Irrigation	2	43	1
Ahwatukee	Landscaping	2	43	1
Ahwatukee	Dentists	2	36	2
Ahwatukee	General Dentistry	2	36	2
Ahwatukee	Oral Surgeons	2	36	2
Ahwatukee	Beauty & Spas	2	34	2
Ahwatukee	Hair Salons	2	34	2
Ahwatukee	Carpet Cleaning	2	10	1
Ahwatukee	Coffee & Tea	1	300	1
Ahwatukee	Creperies	1	300	1
Ahwatukee	Desserts	1	300	1
Ahwatukee	Bars	1	212	1
Ahwatukee	Beer	1	212	1
Ahwatukee	Breakfast & Brunch	1	212	1
Ahwatukee	Gastropubs	1	212	1
Ahwatukee	Nightlife	1	212	1
Ahwatukee	Tapas/Small Plates	1	212	1
Ahwatukee	Wine & Spirits	1	212	1
Ahwatukee	Wine Bars	1	212	1
Ahwatukee	Dry Cleaning & Laundry	1	37	1
Ahwatukee	Sewing & Alterations	1	37	1
Ahwatukee	Handyman	1	37	0
Ahwatukee	Tree Services	1	37	0
Ahwatukee	Cosmetic Dentists	1	33	1
Ahwatukee	Orthodontists	1	33	1
Ahwatukee	Barbers	1	29	1
Ahwatukee	Men's Hair Salons	1	29	1
Ahwatukee	Car Rental	1	29	0
Ahwatukee	Hotels & Travel	1	29	0
Ahwatukee	Active Life	1	17	1
Ahwatukee	Education	1	17	1
Ahwatukee	Fitness & Instruction	1	17	1
Ahwatukee	Specialty Schools	1	17	1
Ahwatukee	Swimming Lessons/Schools	1	17	1
Ahwatukee	Dog Walkers	1	11	1
Ahwatukee	Pet Services	1	11	1
Ahwatukee	Pet Sitting	1	11	1
Ahwatukee	Pets	1	11	1
Ahwatukee	Doctors	1	9	0
Ahwatukee	Sports Medicine	1	9	0
Ahwatukee	Burgers	1	7	0
Ahwatukee	Fast Food	1	7	0
Ahwatukee	Automotive	1	6	0
Ahwatukee	Movers	1	6	0
Ahwatukee	Packing Supplies	1	6	0
Ahwatukee	Self Storage	1	6	0
Ahwatukee	Shopping	1	6	0
Ahwatukee	Truck Rental	1	6	0
Ahwatukee	Eyelash Service	1	5	1
Ahwatukee	Skin Care	1	5	1
Ahwatukee	Grocery	1	4	0
Ahwatukee	Health Markets	1	4	0
Ahwatukee	Specialty Food	1	4	0
Ahwatukee Foothills Village	Active Life	1	11	1
Ahwatukee Foothills Village	Hiking	1	11	1
Airdrie	Restaurants	80	854	25
Airdrie	Food	35	306	13
Airdrie	Automotive	22	76	8
Airdrie	Beauty & Spas	19	75	9
Airdrie	Pizza	17	157	2
Airdrie	Shopping	17	80	3
Airdrie	Bars	14	202	3
Airdrie	Nightlife	14	202	3
Airdrie	Auto Repair	13	49	7
Airdrie	Burgers	10	114	2
Airdrie	Vietnamese	10	81	3
Airdrie	Breakfast & Brunch	9	149	3
Airdrie	Fast Food	9	69	4
Airdrie	Health & Medical	9	28	1
Airdrie	American (Traditional)	8	116	3
Airdrie	Italian	8	92	1
Airdrie	Hair Salons	8	34	5
Airdrie	Coffee & Tea	7	82	4
Airdrie	Chinese	7	48	2
Airdrie	Tires	7	25	4
Airdrie	Pubs	6	66	1
Airdrie	Nail Salons	6	25	3
Airdrie	Oil Change Stations	6	20	0
Airdrie	Active Life	6	18	3
Airdrie	Canadian (New)	5	101	1
Airdrie	Car Dealers	5	18	2
Airdrie	Pets	5	17	0
Airdrie	Home Services	5	16	1
Airdrie	Sports Bars	4	85	0
Airdrie	Gastropubs	4	78	1
Airdrie	Sandwiches	4	74	2
Airdrie	Japanese	4	68	3
