(u'uuu', 1.9594018033192153)
(u'biz_photos', 1.7836518076298695)
(u'userid', 1.7488814364848846)
(u'ly', 1.693819931120279)
(u'CHALLENGE', 1.6841471155890737)
(u'ALOHA', 1.4634045258124022)
(u'UYE', 1.4206171500261622)
(u'Kay', 1.3793652280673694)
(u'hrid', 1.374051448300392)
(u'http', 1.3716786762702)
(u'www', 1.3257069486553004)
(u'Factor', 1.3256347510440154)
(u'365', 1.303937028415941)
(u'Rex', 1.2983779737989067)
(u'Title', 1.269468719101626)
(u'Challenge', 1.2503091567203413)
(u'utilities', 1.2299049076074091)
(u'youtube', 1.2173096412289013)
(u'Trail', 1.1571699374614148)
(u'lease', 1.102059648585847)
(u'Return', 1.1010885111790039)
(u'tenants', 1.0958444787458657)
(u'Yelping', 1.092279898586499)
(u'strippers', 1.0765252182874807)
(u'bookmarked', 1.0695622575322314)
(u'tenant', 1.0677424208152448)
(u'beneath', 1.055052648264546)
(u'amidst', 1.0518167150447582)
(u'Hakkasan', 1.0394273035252404)
(u'worship', 1.0376971619806117)
(u'https', 1.0327598359553996)
(u'Pawn', 1.0316352056201694)
(u'renters', 1.0255369926602054)
(u'Starbuck', 1.0128460280903795)
(u'select', 1.0111111650169065)
(u'HOA', 1.009755457156297)
(u'org', 0.986945338799984)
(u'Robuchon', 0.9813633729811304)
(u'adopt', 0.980805896926439)
(u'shelter', 0.9778589346588991)
(u'dances', 0.9750108442268317)
(u'proving', 0.9705591165274434)
(u'Bureau', 0.9690027218417612)
(u'Yelper', 0.9676451636521648)
(u'Institute', 0.9654928976380237)
(u'Parkway', 0.9633874095818467)
(u'MOVE', 0.9622958669007744)
(u'apartments', 0.9481372275972575)
(u'Allegiant', 0.9465451302522485)
(u'RENT', 0.9396514697497267)
(u'complexes', 0.9249241345726702)
(u'adoption', 0.9239586382834304)
(u'gated', 0.9174427040311173)
(u'Loop', 0.9151076725210494)
(u'OVERALL', 0.9149652487531306)
(u'apartment', 0.9145727397190164)
(u'com', 0.9141938320632974)
(u'Apartments', 0.9136739578064308)
(u'porn', 0.9132776745212716)
(u'SCAM', 0.9121450292872755)
(u'nude', 0.9120012504189283)
(u'Foundation', 0.9118119614687821)
(u'residents', 0.9109389487716939)
(u'harassment', 0.9081585993999575)
(u'Items', 0.9008463527940549)
(u'administration', 0.9006637210704174)
(u'kennel', 0.8983313874324352)
(u'teaches', 0.8945667408303493)
(u'unethical', 0.8927610914421198)
(u'Review', 0.8920697862442939)
(u'yarn', 0.8906712358350646)
(u'BBB', 0.8866119676147672)
(u'Solar', 0.8854307454930375)
(u'documented', 0.8846666967431034)
(u'letter', 0.8834361213798907)
(u'stripper', 0.8818943939576851)
(u'Bikram', 0.8789221738631845)
(u'housemade', 0.8781604298402712)
(u'MONTHS', 0.8743274943350983)
(u'abusive', 0.8743039097075567)
(u'Raku', 0.871038726161995)
(u'auction', 0.8699988943037695)
(u'volunteer', 0.8684132076003017)
(u'prospective', 0.8679828841338608)
(u'PGH', 0.865697428964312)
(u'paragraph', 0.8648553377774775)
(u'botox', 0.8630784514591969)
(u'Criss', 0.8602727743107703)
(u'threatening', 0.8583230230986967)
(u'renewing', 0.8580360793097377)
(u'KIDDING', 0.8574987315395397)
(u'contract', 0.8560061862428459)
(u'READ', 0.8555868188118314)
(u'Admission', 0.8546452224888252)
(u'Suddenly', 0.8532505005097235)
(u'graduate', 0.8486747703447026)
(u'TIP', 0.8485638625644096)
(u'5000', 0.8473365585082497)
(u'refundable', 0.8466397251160362)
(u'deposits', 0.8430346082337792)
(u'Maids', 0.8401066230638232)
(u'cavities', 0.8375552813613325)
(u'Camden', 0.8368406623279405)
(u'Wonderland', 0.8355244188994551)
(u'deposit', 0.8353753768684946)
(u'threaten', 0.8342925264201799)
(u'Police', 0.8310499477506728)
(u'000', 0.8305798928148729)
(u'leasing', 0.8298438307305513)
(u'Tart', 0.829744340075651)
(u'Pastry', 0.826438380120841)
(u'Boulevard', 0.8262507821141281)
(u'sleazy', 0.8251923016041367)
(u'Attorney', 0.8241282774282208)
(u'landlord', 0.8230042902578969)
(u'housing', 0.8218681828125334)
(u'sue', 0.8216520262156894)
(u'renter', 0.821029472213203)
(u'lawsuit', 0.8203916526011845)
(u'Chance', 0.8201507793974105)
(u'4000', 0.8187454654895117)
(u'threatened', 0.8177613296066042)
(u'html', 0.8169118237085833)
(u'Mousse', 0.8153013547018801)
(u'scar', 0.8151188265561835)
(u'volunteers', 0.8132864604252816)
(u'boobs', 0.8110014207305571)
(u'trail', 0.8107173454647096)
(u'atop', 0.810058640704133)
